['Buenos Aires', 'Buenos Aires', '-34.5997', '-58.3819', 'Argentina', 'AR', 'ARG', '"Buenos Aires', ' Ciudad Autónoma de"', 'primary', '16216000', '1032717330']
['London', 'London', '51.5072', '-0.1275', 'United Kingdom', 'GB', 'GBR', '"London', ' City of"', 'primary', '11120000', '1826645935']
['Kyiv', 'Kyiv', '50.45', '30.5236', 'Ukraine', 'UA', 'UKR', '"Kyyiv', ' Misto"', 'primary', '2963199', '1804382913']
['Prague', 'Prague', '50.0833', '14.4167', 'Czechia', 'CZ', 'CZE', '"Praha', ' Hlavní Město"', 'primary', '1335084', '1203744823']
['Zagreb', 'Zagreb', '45.8131', '15.9772', 'Croatia', 'HR', 'HRV', '"Zagreb', ' Grad"', 'primary', '790017', '1191233290']
['Sarajevo', 'Sarajevo', '43.8563', '18.4132', 'Bosnia And Herzegovina', 'BA', 'BIH', '"Bosnia and Herzegovina', ' Federation of"', 'primary', '275524', '1070966777']
['Jamestown', 'Jamestown', '-15.9251', '-5.7179', '"Saint Helena', ' Ascension', ' And Tristan Da Cunha"', 'SH', 'SHN', 'Saint Helena', 'primary', '714', '1654761576']
